"Sektor","Barkod","Urun Adi","Marka","Kategori","Fiyat (TL)","KDV","Urun Gorseli"
"Atıştırmalık ve Şekerleme","4000415043100","Schogetten Ciocolată Cu Lapte","Schogetten","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504131458","Dido Trio","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","3470201015870","Caramels Tendres Au Sel De Guerande","Pinson","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","5285004200051","Al-Samir Melon Små Frö","Al-Samir","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","86902656","Danone Muzlu Puding","Danone","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8693593400498","Hayat Su","Hayat","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8715700422565","Heınz","Heinz","Mayonez","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8699118000556","Tam Yağlı Süt","Birşah","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8681259500491","Stıck","Ceremony-Gida","Sakız","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526016573","Sütlü Çikolata Kaplı Fındık Kremalı Gofret","Eti","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697471724379","Hindi Füme","Namet","Sosis","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690632243054","1927 Sütlü Çikolata","Nestlé","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8681185086618","Strawberry And Cacao Fruit Bar","Fellas","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","5900020028051","Nesfit Bitter Bar","Nestlé","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526018065","Karamela","Eti","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690632049601","Nesquik Cacao Milk","Nestlé","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4000177407608","Capri-Sun Safari Fruits","Capri-Sun","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690574102457","Tropicana Suc De Portocale, Cu Pulpa","Tropicana","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690504121527","Kakaolu Fındık Krema","Cokokrem","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690998151857","Flower Honey","Balparmak","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690767670923","Sütaş Beyaz Peynir 500","Sütaş","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504010104","İkram","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504034506","Albeni","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","27032244","Energy Bar","Proformance","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8696368011929","Orman Meyveli Yoğurt","Danone","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8680659351245","Mélasse De Grenade","Gunseven","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690787241110","Pépites","Tadim","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504149965","Caramio","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8681749104437","Almond Flour","Wefood","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690637896453","Çabuk Makarna Napoliten Soslu","Knorr","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690637896460","Kremalı Mantarlı Çabuk Makarna","Knorr","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691020675624","Di Di Soğuk Çay Bergamot","Caykur","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8681185086304","Yer Fıstıklı Ve Kakaolu Yüksek Protein Bar","Fellas","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690574800315","Yedigün","Pepsico","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692886311619","Kefirix Probiyotik Orman Meyveli","Altinkilic","Kefir","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690558026229","Kayısı Nektarı","Migros","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8694918022920","Ankara Tava","Ta-Da","Hazır Yemek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690520541798","Varim %100 Bira","Varim","Alkollü İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8692971412122","Çikolatalı Süt","İçim","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Yağ","8695077044198","Ayçiçek Yağı","Sole","Ayçiçek Yağı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8695077003591","Jus De Pomme","","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8699343264327","Fıstık Ezmesi/peanut","","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8691230407787","Double Roasted Mixed Nuts","","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077006301","Dilimli Tost Peyniri","Aknaz","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8695077302038","Visne Nektari","Jucy","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680181051347","Nefis Ayran","Torku","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8690527011294","Aç Bitir Hindi Salam","Pınar","Salam","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000186218","Pulpy Meyve Suyu Şeftali","Cappy","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504958710","Sütlü Salep","Ülker","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690624100976","Klasik","Lay's","Cips","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205513264","ICE Tea","Deran","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690504270591","Coco Pops","Kellogg's","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690931005056","Ayran","","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8699118022244","Çerezya Çiğ Fındık İçi","Cerezya","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","869792879634","Calcıum Benzoate","Dkzpharma","Yulaf","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504067672","Kekstra Jölebar Çilekli Kek","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690698511678","Premium","Uno","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","5701975304203","Yoghurt Hindbær","","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8697416465008","Misir Pirinc","Loft","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697429330058","Ceysu","Dogal-Kaynak-Suyu","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","9415007002079","Salt Reduced Spreadable Butter","Mainland","Tereyağı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690105000719","Cay","Caykur","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690520011499","Gallipolluelo","Efes","Alkollü İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8697430885486","Makarna","Arbella","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697471727219","Namet Gurme Sucuk","Namet","Sucuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8699187800323","Gruun Organic Keçiboynuzu Kremasi","","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","69054709","Karam Bitter Çikolata","Eti","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690504121336","Ülker Çokokrem","Ülker","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","80728863","Vıvıdent FULL  Fresh XXL","","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8693440010849","Strigo Soguk Kahve","","Kahve","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/344/001/0849/front_tr.3.400.jpg"
"Süt ve Süt Ürünleri","8690629229405","Dr Oetker Do Whipped Cream","Dr. Oetker","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8697449910964","Domates Salçası","Altunsa","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8695077002280","Krokantli Findikli Krema","","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690624202762","Doritos Nacho","Doritos","Cips","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690637860355","Magnum Classic","Algida","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690624103571","Ruffles Ketchup Birlik","Ruffles","Ketçap","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697432370027","Akdağ Doğal Kaynak Suyu","Akdağ","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690120060170","No:1","Torku","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504007203","Ulker Probis Sandwich Biscuits 10 Pack 280G","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690574000814","Ice Tea Limon","Lipton","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4260083920107","Cappuccino","Dallmayr-Venedig-Office","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8699270013418","Gofrik","Kahve-Dunyasi","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691216018891","Goldbears","Haribo","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504752929","Kraker","Kellogs-Special-K","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077046963","Bütün Bademli","","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504081944","Mcvities","Mcvities","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8410066125203","Heinz Hamburger Sauce 220g","Heinz","Hazır Yemek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8697425041071","Cikolata Kaplamalı Pismaniye","Uğurlu","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","4316268527071","Blau Schimmel Käse","Sørensen-S","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690766086473","Rulokat Fındıklı Kremalı Rulo Gofret","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690723393507","Uludağ Limonata 1 Lt Şekersiz","","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690575064310","Sivri Bamya","Tamek","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","4012625419910","Buğday Unu","Marmara","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000027313","Orage Juice","Cappy","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690558028360","Vişne Go","Dimes","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5200105720109","Nera Kitris From The White Moutains Of Crete","Νερά-Κρήτης","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504130697","Dido Frambuaz","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690637805202","Calve Ranch Sos","Calve","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690575109110","Ekstra Geleneksel Vişne Reçeli","Tamek","Reçel ve Marmelat","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690767716638","Sütaş Kaşar 200","","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690632038407","Nescafe 2x1","Nescafé","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","86926249","Form Limon Lifli Kepekli Bisküvi","Eti","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","2000000024941","Canga","Eti","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","2000000028977","Doğadan Ihlamur Çayı","Doğadan","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","2000000043478","Saray Baharatlı Pizza Kraker","Saray","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","3760077150219","Kadaif 500 GR S. V. X 20 Arev","Filo Murat","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690627023401","Mehmet Effendi","Kurukahveci Mehmet Efendi","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","4770209047729","White Cow Evaporated Milk","","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691058141948","Sirma Kaynak Suyu","Sırma","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8003423700023","Siesta Lemon","Romanella","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504025207","Bitter Çikolata","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8695077002297","Peripella","Sayley","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690767714641","Labne","Sütaş","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000043672","Karışık Meyveli Enerji İçeceği","Burn","Enerji İçeceği","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000033109","Cappy Karışık Meyve Suyu","Cappy","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","5413149775244","Paprika","","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504014201","Ulker Biskrem Cocoa Biscuit","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697713550032","Pure Life","Nestlé","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690565002988","Taze Kaşar","Pınar","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697406276416","Yonca Roasted Red Pepper","Yonca","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690787311059","Noix De Cajou","Tadim","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526063508","Eti Burçak Sütlü Çikolatalı","Eti","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690120070056","Torku Banada","Torku","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504010203","İkram Fındıklı","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690575047115","Patlıcan Kızartma","Tamek","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526094045","Eti Pizza Kraker -","","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8691641080036","Şekerli Fındık Ezmesi","Fiskobirlik","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000003102","Fanta Portakal","Fanta","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8680181000017","Tam Yağlı Doğal Süt","Torku","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8712052002209","Aytac","","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8710508911105","Sunbest","Hellema","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690624104677","Lays Fırından","Lay's","Cips","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8692971481364","Bizim Mutfak Mayonez","Ülker","Mayonez","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690637805288","Calve Acılı Ketçap","Calve","Ketçap","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8695789002639","Maras Local Tarhana Soup","Mar","Çorba","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8691026060035","Kremfıstık Klasik Fıstık Ezmesi","Polmak-Gold","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504020295","Biskrem","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","2000000043479","Nimet Çikolata Kremalı Kruvasan","Nimet","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8681078700966","Cevizli Fındıklı Köme","Anadolu-Lezzetleri","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","2000000043484","Klasik Patates Cipsi","Lay's","Cips","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","86920131","Puf Renkli Bisküvi","Eti","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","2000000043477","Gong Mısır Ve Pirinç Patlağı","Eti","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692095341681","Sek Ayran","","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690515599704","Olips Nane Aromalı Şeker","Olips","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","76223000264","Toblerone","Mondelez","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","2000000028980","Hayat Su","Danone","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690524174237","Sakız","First","Sakız","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/052/417/4237/front_en.4.400.jpg"
"Kahvaltılık","8697436110865","Armella Hazelnut Spread","Armella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","2000000025175","Eti Cin","Eti","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691058141832","Sirma Limon Aromali","Vitaminli","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","2000000024942","Ülker Bitter Chocolate","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526092232","ETİ","Eti","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8699118002482","Sunflower Seeds","Cerezya","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690631501056","Vefa Bozacisi","Vefa-Bozacısı","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8697442963530","Traditional Double Roasted Blackberry Flavoured Turkish Delight With Extra Rich Pistachio","Sultanate","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8695077085405","Xl Çikolatalı İnce Gofret","","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8699182522404","Organik Yumurta","Green Apple Organik","Yumurta","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","49000057997","Sprite","Coca-Cola","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Yağ","8719200021938","Yemek, Pişirme Ve Kızartma İçin Margarin","Blue Band","Margarin","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690565017531","Protein Vanilya Aromalı","Pınar","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8001505001099","Nocciolata Organic Hazelnut Spread With Cocoa","Rigoni-Di-Asiago","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Takviye ve Fonksiyonel Gıda","8690292001506","Collagen Protein Drink","","Protein ve Takviye","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971433554","Tam Yağlı Süzme Peynir","İçim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","6911657931132","Mayonez","Heinz","Mayonez","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504012139","Hanımeller","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690585331150","Özel Seri Kakaolu Tahin Helvası","Abdurrahman Tatlıcı","Tahin ve Helva","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504027010","Hobby Çikolata Bar","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5900020031136","Nesquik Breakfast Cereal Bars","Nestlé","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690550913411","Sarelle","Sanset","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
